date,1001A,1002A,1003A,1004A,1005A,1006A,1007A,1008A,1009A,1010A,1011A,1012A,1013A,1014A,1015A,1016A,1017A,1018A,1019A,1020A,1021A,1023A,1024A,1025A,1026A,1027A,1028A,1029A,1030A,1031A,1032A,1033A,1034A,1035A,1036A,1037A,1038A,1039A,1040A,1041A,1042A,1043A,1044A,1045A,1046A,1047A,1048A,1049A,1050A,1051A,1052A,1053A,1054A,1055A,1056A,1057A,1058A,1059A,1060A,1061A,1062A,1063A,1064A,1065A,1066A,1067A,1068A,1069A,1070A,1071A,1072A,1073A,1074A,1075A,1076A,1077A,1078A,1079A,1080A
20140513,47.5,33.63636363636363,65.2,30.6,51.90909090909091,51.13636363636363,52.04545454545455,62.18181818181818,32.2,45.72727272727273,54.59090909090909,61.857142857142854,81.3,48.130434782608695,59.23809523809524,84.26315789473684,54.08695652173913,67.125,75.56521739130434,81.0,66.69565217391305,62.26086956521739,67.47619047619048,65.78260869565217,67.0,65.13636363636364,90.86363636363636,77.30434782608695,82.1304347826087,80.65217391304348,98.57142857142857,97.78260869565217,78.0,53.08695652173913,71.0,74.68181818181819,63.63636363636363,72.91304347826087,80.52173913043478,72.6086956521739,59.08695652173913,13.478260869565217,25.565217391304348,65.6086956521739,14.130434782608695,85.30434782608695,89.52173913043478,100.26086956521739,99.6086956521739,24.916666666666668,92.65217391304348,97.95652173913044,90.56521739130434,81.95454545454545,88.17391304347827,30.565217391304348,6.0,15.565217391304348,19.608695652173914,26.08695652173913,42.47826086956522,18.304347826086957,35.78260869565217,34.45454545454545,32.869565217391305,51.65217391304348,52.04347826086956,61.65217391304348,58.26086956521739,57.130434782608695,53.73913043478261,48.08695652173913,47.69565217391305,63.34782608695652,53.869565217391305,124.34782608695652,99.56521739130434,95.65217391304348,119.17391304347827
20140514,15.916666666666666,13.041666666666666,20.09090909090909,22.0,16.5,15.666666666666666,18.291666666666668,18.208333333333332,13.333333333333334,16.416666666666668,21.304347826086957,28.681818181818183,33.291666666666664,31.041666666666668,25.458333333333332,26.681818181818183,18.952380952380953,20.75,30.666666666666668,54.05,39.0,31.5,39.375,29.416666666666668,,38.0,38.34782608695652,47.583333333333336,33.43478260869565,45.666666666666664,34.75,44.875,37.416666666666664,27.541666666666668,24.333333333333332,25.5,26.958333333333332,28.083333333333332,33.208333333333336,32.208333333333336,27.68421052631579,20.125,35.666666666666664,31.75,27.73913043478261,64.875,77.875,76.5,78.95833333333333,23.958333333333332,39.291666666666664,32.875,32.958333333333336,37.375,32.81818181818182,17.82608695652174,6.785714285714286,8.652173913043478,20.375,29.708333333333332,25.666666666666668,16.291666666666668,16.041666666666668,18.875,23.043478260869566,12.652173913043478,14.826086956521738,21.541666666666668,19.217391304347824,37.958333333333336,29.166666666666668,25.52173913043478,41.958333333333336,46.958333333333336,43.25,65.58333333333333,63.416666666666664,61.5,58.291666666666664
20140515,56.13636363636363,58.77272727272727,51.0,32.857142857142854,60.77272727272727,62.77272727272727,64.4090909090909,60.95238095238095,52.13636363636363,56.95454545454545,72.0,74.52631578947368,86.57142857142857,51.21052631578947,76.22222222222223,84.13636363636364,70.4090909090909,57.95,84.23809523809524,100.55,80.04545454545455,66.23809523809524,86.77272727272727,76.11111111111111,75.75,84.16666666666667,47.55,40.3,41.78947368421053,45.18181818181818,42.54545454545455,44.68181818181818,36.26315789473684,33.142857142857146,67.77272727272727,53.40909090909091,60.31818181818182,50.81818181818182,69.27272727272727,59.27272727272727,43.13636363636363,38.22727272727273,51.42857142857143,28.59090909090909,34.142857142857146,60.18181818181818,59.90909090909091,46.45,66.0909090909091,47.54545454545455,59.59090909090909,64.81818181818181,47.142857142857146,54.13636363636363,58.18181818181818,45.18181818181818,40.68181818181818,29.94736842105263,37.80952380952381,31.636363636363637,26.5,11.631578947368421,16.818181818181817,18.363636363636363,30.363636363636363,65.31818181818181,60.57142857142857,64.86363636363636,76.92307692307692,48.77272727272727,60.666666666666664,51.09090909090909,42.285714285714285,53.45454545454545,43.45454545454545,44.27272727272727,45.72727272727273,46.714285714285715,35.04545454545455
20140516,42.13636363636363,32.90909090909091,45.95454545454545,62.0,40.59090909090909,47.81818181818182,61.18181818181818,43.13636363636363,34.04545454545455,36.45454545454545,57.54545454545455,60.54545454545455,90.21052631578948,53.86363636363637,68.5,79.4090909090909,70.81818181818181,63.81818181818182,82.5,112.73684210526316,84.36363636363636,64.5,90.95454545454545,84.38095238095238,78.0,87.3529411764706,60.904761904761905,60.904761904761905,51.77272727272727,63.9,55.27272727272727,58.86363636363637,57.38095238095238,60.44444444444444,63.857142857142854,62.22727272727273,64.5909090909091,75.4090909090909,79.42857142857143,59.68181818181818,44.90909090909091,41.473684210526315,65.05,28.454545454545453,49.1578947368421,75.04545454545455,87.9090909090909,89.04545454545455,97.95454545454545,58.04761904761905,69.31818181818181,65.31818181818181,63.77272727272727,62.95454545454545,64.22727272727273,15.19047619047619,12.681818181818182,5.444444444444445,18.318181818181817,13.6,30.09090909090909,9.136363636363637,17.954545454545453,28.454545454545453,34.54545454545455,57.63636363636363,59.09090909090909,63.18181818181818,63.90909090909091,74.54545454545455,66.4090909090909,56.77272727272727,71.27272727272727,72.77272727272727,62.54545454545455,70.72727272727273,84.61904761904762,72.95454545454545,69.27272727272727
20140517,54.25,46.416666666666664,54.958333333333336,59.25,56.65217391304348,56.958333333333336,62.041666666666664,54.791666666666664,48.75,50.708333333333336,69.04347826086956,71.33333333333333,67.63636363636364,40.625,50.166666666666664,54.291666666666664,46.125,39.458333333333336,73.79166666666667,83.45,58.375,42.458333333333336,66.04166666666667,50.95238095238095,50.958333333333336,47.15384615384615,86.625,77.95833333333333,94.91666666666667,92.83333333333333,84.04166666666667,87.125,83.08333333333333,77.125,74.125,67.83333333333333,77.08333333333333,97.875,78.66666666666667,87.91666666666667,35.958333333333336,37.916666666666664,41.285714285714285,22.869565217391305,32.583333333333336,92.25,89.70833333333333,99.75,102.75,72.57142857142857,83.54166666666667,84.95833333333333,85.16666666666667,80.69565217391305,73.20833333333333,12.818181818181818,25.541666666666668,14.73913043478261,21.458333333333332,29.363636363636363,31.458333333333332,21.958333333333332,29.75,29.458333333333332,34.583333333333336,49.958333333333336,54.25,61.458333333333336,58.0,68.875,76.79166666666667,86.17647058823529,68.54166666666667,73.70833333333333,67.33333333333333,95.625,102.91666666666667,100.0909090909091,86.04166666666667
20140518,76.26086956521739,63.65217391304348,83.91304347826087,95.9,86.69565217391305,85.47826086956522,85.04347826086956,81.08695652173913,70.04347826086956,68.30434782608695,100.65,83.30434782608695,73.53846153846153,45.65217391304348,66.34782608695652,61.083333333333336,65.34782608695652,59.91304347826087,75.57142857142857,63.17391304347826,70.08695652173913,64.42857142857143,67.33333333333333,49.875,64.13333333333334,93.35714285714286,118.26086956521739,109.78260869565217,112.17391304347827,120.6086956521739,113.30434782608695,119.43478260869566,111.0,98.21739130434783,73.65217391304348,63.130434782608695,69.8695652173913,72.1304347826087,78.08695652173913,79.21739130434783,40.608695652173914,35.82608695652174,50.95652173913044,52.55,38.04545454545455,93.6086956521739,90.78260869565217,104.8695652173913,107.04347826086956,93.3913043478261,110.21739130434783,113.08695652173913,108.8,107.21739130434783,110.0,13.318181818181818,31.857142857142858,21.608695652173914,27.347826086956523,27.652173913043477,41.22727272727273,40.52173913043478,35.47826086956522,36.0,57.95454545454545,82.69565217391305,81.30434782608695,81.95652173913044,83.08695652173913,76.04347826086956,86.56521739130434,,70.82608695652173,77.30434782608695,67.21739130434783,107.34782608695652,114.56521739130434,114.69565217391305,106.8695652173913
20140519,104.0,92.71428571428571,114.28571428571429,116.3125,109.38095238095238,109.52380952380952,101.6842105263158,106.4,98.47619047619048,99.57142857142857,110.71428571428571,112.19047619047619,139.65,60.19047619047619,111.23809523809524,,111.57142857142857,96.80952380952381,130.33333333333334,105.61904761904762,112.9047619047619,111.19047619047619,135.08333333333334,103.0,159.77777777777777,116.76190476190476,105.61904761904762,104.04761904761905,93.9047619047619,107.23809523809524,107.95238095238095,128.14285714285714,107.14285714285714,68.80952380952381,156.1904761904762,137.47619047619048,136.04761904761904,140.85714285714286,156.66666666666666,157.33333333333334,53.857142857142854,35.904761904761905,44.5,58.05,41.76190476190476,60.38095238095238,69.76190476190476,70.80952380952381,72.38095238095238,89.55,108.47619047619048,113.42857142857143,106.23809523809524,109.80952380952381,108.52380952380952,13.7,17.31578947368421,13.083333333333334,29.25,22.7,56.166666666666664,25.36842105263158,46.142857142857146,36.857142857142854,65.9,106.52380952380952,125.04761904761905,136.42857142857142,115.66666666666667,115.42857142857143,132.23809523809524,108.0,86.38095238095238,92.47619047619048,95.80952380952381,118.80952380952381,107.57894736842105,108.80952380952381,118.05263157894737
20140520,88.16666666666667,46.75,92.33333333333333,86.5,85.29166666666667,92.45833333333333,83.75,73.25,59.958333333333336,54.75,95.58333333333333,93.45833333333333,135.73684210526315,74.95238095238095,116.27777777777777,90.25,123.29166666666667,109.91666666666667,137.1304347826087,115.66666666666667,126.5,117.08333333333333,135.875,140.92307692307693,145.52173913043478,146.5909090909091,121.54166666666667,104.875,110.73913043478261,119.52173913043478,112.13636363636364,113.52173913043478,107.54166666666667,94.56521739130434,152.375,125.16666666666667,153.66666666666666,142.75,161.0,154.375,56.43478260869565,47.958333333333336,71.45833333333333,71.04545454545455,56.166666666666664,34.125,45.875,44.833333333333336,49.708333333333336,83.0,115.58333333333333,122.91666666666667,114.5,104.20833333333333,108.375,7.791666666666667,18.705882352941178,3.6470588235294117,8.958333333333334,9.333333333333334,52.791666666666664,25.0,41.5,42.25,58.625,128.54166666666666,155.66666666666666,160.79166666666666,152.95833333333334,150.70833333333334,186.79166666666666,138.70833333333334,112.33333333333333,131.125,131.5,101.20833333333333,91.91666666666667,91.91666666666667,98.29166666666667
20140521,109.95454545454545,99.45454545454545,111.86363636363636,109.04761904761905,98.61904761904762,108.18181818181819,112.95454545454545,100.04545454545455,101.68181818181819,110.04545454545455,112.72727272727273,117.86363636363636,170.4,144.6,154.8181818181818,165.3181818181818,160.13636363636363,156.2,164.2,142.86363636363637,167.4090909090909,115.95454545454545,213.7,98.25,137.4,179.07692307692307,137.3181818181818,135.1818181818182,122.5909090909091,136.77272727272728,135.45454545454547,138.36363636363637,123.54545454545455,137.86363636363637,160.0,133.8181818181818,145.3181818181818,139.04545454545453,163.04545454545453,141.27272727272728,66.13636363636364,33.22727272727273,82.33333333333333,51.54545454545455,54.18181818181818,62.04545454545455,69.0909090909091,74.04545454545455,70.18181818181819,90.7,119.45454545454545,105.76190476190476,113.13636363636364,133.95454545454547,139.6818181818182,5.1,23.4,15.142857142857142,28.523809523809526,15.6,26.40909090909091,15.142857142857142,40.95454545454545,24.65,35.81818181818182,112.31818181818181,113.45454545454545,121.54545454545455,113.95454545454545,177.95454545454547,239.54545454545453,169.8181818181818,116.63636363636364,131.0,142.77272727272728,136.86363636363637,116.95454545454545,141.27272727272728,129.1818181818182
20140522,143.13333333333333,103.42105263157895,138.72727272727272,138.0,133.0909090909091,133.13636363636363,137.13636363636363,170.0952380952381,127.72727272727273,126.38095238095238,144.5,128.45454545454547,129.2608695652174,87.73913043478261,93.6086956521739,97.65217391304348,103.65217391304348,118.1304347826087,132.54545454545453,100.3913043478261,143.11764705882354,117.65217391304348,129.0,117.6086956521739,173.1304347826087,71.1,104.43478260869566,92.47826086956522,95.3913043478261,106.72727272727273,101.43478260869566,111.65217391304348,96.04347826086956,73.78260869565217,186.65217391304347,162.7826086956522,163.52173913043478,168.34782608695653,193.1304347826087,164.6086956521739,65.72727272727273,40.21739130434783,79.9047619047619,45.17391304347826,63.0,80.47826086956522,70.52173913043478,81.34782608695652,81.34782608695652,83.81818181818181,125.82608695652173,111.47826086956522,139.43478260869566,126.43478260869566,107.1304347826087,3.772727272727273,31.956521739130434,19.434782608695652,28.82608695652174,24.318181818181817,77.52173913043478,54.391304347826086,82.6086956521739,55.82608695652174,82.04347826086956,122.73913043478261,135.2608695652174,117.52173913043478,122.56521739130434,93.0,99.6086956521739,79.47826086956522,74.1304347826087,80.78260869565217,79.78260869565217,126.6086956521739,118.26086956521739,129.17391304347825,128.2608695652174
